,Atrial Cardiomyocyte,Ventricular Cardiomyocyte,Fibroblast,Endothelial cell,Lymphatic Endothelial cell,Mural cell,Mesothelial cell,Neural cell,Adipocyte,Myeloid,Lymphoid,Mast cell
73,0.004751882,0.14631583,0.035488326,0.0022298351,0.017837636,3.625897e-10,0.36058742,0.16028091,0.0102304565,0.23625918,0.014913944,0.011104488
74,0.01078752,0.16979362,0.16388658,0.19546112,0.107278146,1.4461804e-07,0.08418404,0.081924,0.010627924,0.13121648,0.03381037,0.011030047
75,0.013265489,0.18755792,0.0107099945,0.05057443,0.062610954,1.5443131e-09,0.23820579,0.071730964,0.0030203883,0.33128965,0.022287372,0.00874705
76,0.008739337,0.03129346,0.14973417,0.012320544,0.047709886,1.900254e-09,0.38314295,0.18984392,0.045043923,0.09322698,0.02020038,0.01874444
77,0.012222637,0.045954004,0.052722555,0.1168741,0.19596678,3.2609968e-09,0.043682642,0.056340206,0.0050385688,0.3933552,0.07357871,0.0042646006
78,0.012552789,0.06314513,0.092266016,0.17429052,0.1176315,5.5179132e-08,0.027566636,0.07541221,0.0065116966,0.31955492,0.06293866,0.048129786
79,0.029519623,0.18018451,0.02254332,0.030985225,0.19579768,3.234952e-09,0.35164198,0.097156115,0.0005440843,0.0026405056,0.03904273,0.04994419
80,0.004687984,0.095849,0.06572145,0.006090192,0.019722432,8.06543e-09,0.19627325,0.18745123,0.015430348,0.32045352,0.028075516,0.060245067
81,0.007561883,0.10697507,0.10513884,0.019283574,0.1520506,2.2097611e-10,0.4428732,0.10294539,0.008738831,0.009425494,0.029876025,0.015131142
82,0.026365887,0.3029509,0.14618358,0.005993989,0.0067596934,3.9970316e-09,0.25747442,0.13327715,0.033605557,0.057615627,0.028462142,0.0013110944
83,0.024103653,0.31295776,0.1532675,0.030456606,0.021100843,2.7770927e-08,0.00010133495,0.32974803,0.034241587,0.005902787,0.030677574,0.057442322
84,0.0049855867,0.06664734,0.2415418,0.07324727,0.02686623,2.8242674e-08,0.0031581537,0.28194046,0.037863385,0.0048429696,0.25671357,0.0021932686
85,0.033375233,0.27867797,0.037804924,0.1802483,0.04108777,2.2884592e-07,0.09648783,0.06177162,0.00208287,0.112110935,0.085263394,0.071088925
86,0.020475192,0.31054652,0.109510005,0.031576235,0.011607579,1.3812343e-07,0.00045099529,0.13102168,0.027116494,0.22278637,0.066021614,0.06888721
87,0.0076683657,0.062120482,0.01764948,0.070519626,0.11142979,4.573876e-09,0.48555493,0.049431186,0.00090148195,0.06436449,0.12621191,0.004148249
88,0.029569143,0.24211487,0.02982837,0.024311543,0.0060480745,2.76561e-08,0.36303425,0.13022217,0.009155694,0.099921994,0.05452929,0.0112645365
89,0.028274583,0.38278705,0.050714638,0.08032201,0.012057752,1.3873931e-07,0.029783849,0.10436508,0.014238505,0.16320361,0.076611,0.05764185
90,0.019488763,0.51387995,0.08807764,0.059520304,0.06406426,1.7336863e-08,0.0291779,0.05403845,0.007112634,0.05957889,0.072256975,0.03280426
91,0.011031321,0.100958325,0.0510899,0.069014624,0.07301752,1.0086699e-07,0.09519345,0.13432558,0.010574331,0.26680297,0.1442952,0.04369671
92,0.0018204835,0.0055376426,0.07114343,0.08419329,0.16070038,2.2951896e-08,0.28023642,0.111073695,0.005670021,0.185818,0.030950194,0.06285642
93,0.33168542,0.13609624,0.010706837,0.015102161,0.012106832,1.6481865e-09,0.39877984,0.054508924,0.008339199,0.0147724915,0.017432919,0.00046912022
94,0.01958351,0.310122,0.019227747,0.0011128638,0.0159807,6.2705355e-11,0.1963961,0.089637,0.0040509026,0.3171247,0.02592746,0.0008368836
