,T_CD4,T_CD8,T_reg,mDC,mono-mac,myeloid,pDC,plasma,tumour_1,tumour_2
180,0.13751043,0.11797498,0.088155106,0.1035308,0.09995788,0.07292321,0.103715874,0.09337407,0.11075252,0.07210518
181,0.13764201,0.11809758,0.08824618,0.10343504,0.10017211,0.07302391,0.103565365,0.09315233,0.110713385,0.07195207
182,0.13783139,0.1180175,0.0884341,0.10330083,0.100335136,0.072916426,0.10352318,0.09296536,0.110644385,0.07203163
183,0.13773717,0.11803133,0.088256344,0.10321483,0.10019635,0.072856046,0.1036405,0.093151435,0.11088922,0.0720267
184,0.13765639,0.118118465,0.088373296,0.103321165,0.10023265,0.07293911,0.103529386,0.0930213,0.11082748,0.071980685
185,0.13772798,0.11811435,0.08835422,0.103181876,0.10034447,0.07290696,0.103641585,0.0929069,0.11088627,0.07193542
186,0.1377225,0.11811075,0.08835715,0.10325031,0.100275375,0.07289987,0.10361583,0.0929936,0.11083471,0.071939886
187,0.13772175,0.118125565,0.0883459,0.10327539,0.10025525,0.072945945,0.10357658,0.09301292,0.11081078,0.071929894
188,0.1376988,0.11807269,0.088393554,0.10332919,0.10023714,0.07292408,0.10349601,0.09302119,0.11081693,0.07201033
189,0.13766807,0.11810404,0.088340096,0.103320494,0.10026196,0.072940566,0.103553474,0.09303838,0.11079965,0.071973294
190,0.1377152,0.11805636,0.08840059,0.1032805,0.100275144,0.07289514,0.103534706,0.09297543,0.11087493,0.07199204
191,0.1376881,0.11800331,0.088421896,0.10334483,0.100247525,0.07289697,0.10348178,0.093032755,0.1108449,0.07203796
192,0.13756016,0.11813568,0.08822373,0.10346247,0.10019865,0.07304298,0.1035432,0.09319063,0.11070127,0.0719412
193,0.13765818,0.118041344,0.088351384,0.103374854,0.100249015,0.072911985,0.103563845,0.093043044,0.11078524,0.072021104
194,0.13765122,0.11809668,0.0883184,0.103316925,0.10032242,0.07297933,0.10359829,0.09298547,0.110710256,0.07202098
195,0.1376334,0.11811576,0.0882227,0.103410736,0.10019799,0.07301304,0.1035906,0.093144216,0.11070263,0.0719689
196,0.13770847,0.11807988,0.088309534,0.10332065,0.10023286,0.07296227,0.10358393,0.09307084,0.110772125,0.07195949
197,0.13753597,0.117995895,0.08832071,0.10351871,0.10008689,0.07302544,0.10376381,0.09307397,0.110809535,0.071869045
198,0.13758211,0.11804654,0.08819447,0.10342333,0.100098975,0.07300253,0.103828184,0.092996635,0.110818386,0.07200882
199,0.13759942,0.118191026,0.088280685,0.10338671,0.100187704,0.07296061,0.1036293,0.09313631,0.11069534,0.071932904
200,0.13764618,0.11812999,0.08830937,0.103362,0.10028281,0.07297963,0.10362601,0.09304443,0.11072893,0.07189061
201,0.13771129,0.11803859,0.088337615,0.10336344,0.10023043,0.072963074,0.10352781,0.09303784,0.110763945,0.07202603
202,0.13774362,0.118038,0.0884168,0.10331342,0.10027568,0.07286436,0.1034917,0.09299262,0.11087232,0.07199143
203,0.1379144,0.118110545,0.08816144,0.1031861,0.10005264,0.073044434,0.10338654,0.09332092,0.110794336,0.07202861
204,0.1378213,0.11789232,0.0884545,0.10338252,0.100117706,0.07287443,0.10319786,0.09318109,0.11094096,0.072137326
205,0.13772443,0.118097186,0.08842395,0.10319847,0.100346655,0.07289038,0.103548855,0.09287936,0.11091909,0.07197166
206,0.13768381,0.11792455,0.08839233,0.10332555,0.10026564,0.07292035,0.10335576,0.09313424,0.11084006,0.07215774
