,meanscell_abundance_w_sf_Adipocyte,meanscell_abundance_w_sf_Atrial Cardiomyocyte,meanscell_abundance_w_sf_Endothelial cell,meanscell_abundance_w_sf_Fibroblast,meanscell_abundance_w_sf_Lymphatic Endothelial cell,meanscell_abundance_w_sf_Lymphoid,meanscell_abundance_w_sf_Mast cell,meanscell_abundance_w_sf_Mesothelial cell,meanscell_abundance_w_sf_Mural cell,meanscell_abundance_w_sf_Myeloid,meanscell_abundance_w_sf_Neural cell,meanscell_abundance_w_sf_Ventricular Cardiomyocyte
135,0.042864062,0.013033472,0.2271407,0.09726498,0.08575478,1.0057255,8.032283,0.6130951,8.245169,0.18086234,0.09182789,0.006601377
136,0.046773527,0.015383223,0.084676735,0.07453808,0.04476233,0.5644374,3.3182185,0.18224618,9.163118,0.09094815,0.066941045,0.008833504
137,0.013900526,0.004236803,0.07180585,0.030125052,0.030602977,2.5716407,4.886455,2.6000867,0.10458782,0.16076483,0.06916132,0.0020979568
138,0.031547043,0.005390945,0.13571058,0.05258557,0.076915756,2.323772,5.094606,5.946853,4.116237,0.40932813,0.07969529,0.0033734676
139,0.009194801,0.0043703252,0.06341402,0.033549033,0.03424956,1.6354971,0.83551043,4.1277814,1.5983125,0.118674204,0.078274526,0.002117102
140,0.08068547,0.018563926,0.1670773,0.11454606,0.07229929,0.99318725,1.2734395,2.5032456,13.460379,0.21617194,0.07765809,0.011947323
141,0.025610574,0.0076009077,0.080224805,0.06621258,0.06752298,1.474763,0.09484156,3.6627882,7.0686903,0.11219532,0.07409077,0.0030297164
142,0.018523969,0.0027724192,0.07924857,0.032776427,0.034216247,1.6742615,4.9325614,6.9801927,0.07107607,0.18559389,0.05545747,0.004453631
143,0.011836599,0.0037793266,0.06071603,0.020609029,0.044977915,1.498757,6.364609,1.0745693,0.26771566,0.14128786,0.03420419,0.0032010258
144,0.016981551,0.0058315145,0.13483159,0.058389395,0.038347453,0.47851032,0.03258882,3.8914006,9.729159,0.083348386,0.07948777,0.0031403082
145,0.013977386,0.004424234,0.12091101,0.022412797,0.047084615,2.0653296,9.399702,3.5281866,0.06496006,0.19805695,0.04343326,0.002933959
146,0.027327972,0.0060671372,0.18912104,0.07705034,0.071224265,2.193346,14.06438,1.0924547,1.4992032,0.4830528,0.06564902,0.0040813875
147,0.022810727,0.0086599635,0.12317994,0.04205045,0.06161841,0.70420736,5.303572,0.90063393,6.043747,0.11565899,0.041168373,0.005356172
148,0.021919854,0.0028916446,0.14975442,0.07511964,0.05106642,1.8856208,3.2421334,8.845287,1.059283,2.5276802,0.05368979,0.0016014617
149,0.0084175775,0.044076316,0.03482824,0.0109392945,0.01630859,0.759996,0.018378494,15.99945,0.029453112,0.07373335,0.024366174,0.42113698
150,0.042281795,0.05459218,0.2067391,0.05194625,0.083778605,3.9129286,0.6210887,29.17881,0.32014623,0.6014591,0.12032817,0.029834526
151,0.0103371,0.0038681221,0.09597332,0.034396205,0.035621133,1.7130398,0.034589693,7.759646,4.8393607,0.11225725,0.06544859,0.003495147
152,0.3009613,0.01727113,0.058123093,0.0984681,0.029293042,0.2585261,6.1014023,1.1913939,3.4550216,0.090610154,0.03994868,0.0040791063
153,0.008946667,0.0030885688,0.041423686,0.013890511,0.024181675,1.9876966,6.104992,1.6134218,0.045211468,0.16527632,0.022478383,0.002877142
154,0.015343175,0.0048116846,0.121605165,0.0489408,0.03740275,1.0432125,0.059423063,7.444764,2.220688,0.12230418,0.055009298,0.0026458942
155,0.015057273,0.0053407894,0.07667357,0.061927628,0.02331412,0.15952359,0.050978787,0.026003487,10.056637,0.052496348,0.07477655,0.0034946098
156,0.0106228,0.003187119,0.060556956,0.017975226,0.032385617,3.2854137,4.346347,6.886935,0.04541196,0.20144044,0.037189715,0.0015211011
157,0.025630765,0.0062070703,0.20923689,0.04309,0.054684315,1.6194129,10.850619,6.2589884,2.8131313,0.23841712,0.07775006,0.0045625744
158,0.012748653,0.0057250704,0.10659671,0.027754674,0.033675298,0.9102699,9.676753,0.93530774,1.3185694,0.19133246,0.07170078,0.0031390295
159,0.03074377,0.00558352,0.21521243,0.053859428,0.07846773,3.281288,8.010167,13.599435,0.78670496,1.0476876,0.08199656,0.002853522
160,0.04222643,0.027365273,0.13741794,0.06045823,0.06918757,0.77954257,9.622828,0.09442648,7.6288776,0.1946297,0.059814002,0.0155478725
161,0.205772,0.0059752357,0.04279127,0.12572853,0.024752118,0.32010037,0.9194079,2.2735627,3.3182712,0.07765634,0.04306259,0.004982353
