,meanscell_abundance_w_sf_endothelial cell,meanscell_abundance_w_sf_astrocyte,meanscell_abundance_w_sf_oligodendrocyte,meanscell_abundance_w_sf_microglial cell,meanscell_abundance_w_sf_vascular associated smooth muscle cell,meanscell_abundance_w_sf_inhibitory interneuron,meanscell_abundance_w_sf_pericyte,meanscell_abundance_w_sf_glutamatergic neuron,meanscell_abundance_w_sf_radial glial cell,meanscell_abundance_w_sf_oligodendrocyte precursor cell,meanscell_abundance_w_sf_neural progenitor cell,meanscell_abundance_w_sf_medial ganglionic eminence derived interneuron,meanscell_abundance_w_sf_caudal ganglionic eminence derived interneuron
137,0.03519279,0.043388363,1.1718693,0.010365889,0.017119145,0.008965948,3.8592498,3.5713353,0.016009657,0.019105045,4.17038,0.17582224,0.35528353
138,0.039542824,0.0039128405,0.013924578,0.00974995,0.02984432,0.08377055,6.3332305,3.8368106,0.014012023,0.0026174847,7.6688676,0.009370937,0.008862977
139,0.035870448,0.023357837,0.15030973,0.009883851,0.08885844,0.06609407,6.67753,4.2874184,0.57624614,0.011317983,4.1853247,0.01625233,0.013398523
140,0.025207516,0.0049780137,0.008550154,0.017054144,0.02283487,0.24213125,3.9949157,7.724589,0.027759386,0.00409023,4.629606,0.007619542,0.00863564
141,0.13295884,0.033916883,0.07708582,0.16632763,0.079853766,0.66816443,2.423429,2.9575117,0.07557048,0.29688284,7.7986264,0.13679768,0.40635797
142,0.44639152,3.1849344,0.0037529075,0.0060314327,0.008946648,0.070000954,0.012259512,0.01736427,0.042511854,0.0041097403,0.013982761,0.0188768,0.34650892
143,2.7093377,0.42957184,0.6209875,0.026822994,0.018192707,1.0829899,0.050880812,0.057037357,0.74599975,0.5921587,2.222261,0.0224896,0.035361316
144,1.7505937,0.016828436,0.020047557,0.0041787107,0.01668984,0.009184238,0.06106707,0.0094537,0.01858648,0.86043626,2.6886153,0.01318015,0.657195
145,0.26371732,1.6662953,1.2235376,0.0070034494,0.043478463,0.045544337,0.5310397,0.03422561,0.03346383,1.6792105,0.87647295,0.006860439,0.009247894
146,0.011775297,0.0063114315,0.009830564,0.0025154809,0.0036153358,0.0072135665,0.0060828254,0.004570577,0.011623065,2.8193128,1.3847704,0.003079069,0.0056280564
